arm,loss,level_weighted,variant,fold_id,test_year,covers_covid,headline,seed,best_epoch,ensemble,mae,rmse,peak_mae,peak_cells,cells
level_weighted,mse,True,v1,6,2022,False,True,0,15.0,False,12.21743392944336,22.25506591796875,24.312376022338867,116,1325
level_weighted,mse,True,v1,6,2022,False,True,1,12.0,False,12.282118797302246,22.332807540893555,24.44630241394043,116,1325
level_weighted,mse,True,v1,6,2022,False,True,2,17.0,False,12.226444244384766,22.235353469848633,24.589160919189453,116,1325
level_weighted,mse,True,v1,6,2022,False,True,-1,14.666666666666666,True,12.233997344970703,22.26375389099121,24.4484920501709,116,1325
huber_weighted,huber,True,v1,6,2022,False,True,0,16.0,False,12.37154769897461,22.516063690185547,23.97565269470215,116,1325
huber_weighted,huber,True,v1,6,2022,False,True,1,20.0,False,12.291173934936523,22.393171310424805,24.17222023010254,116,1325
huber_weighted,huber,True,v1,6,2022,False,True,2,17.0,False,12.2948637008667,22.390487670898438,24.217391967773438,116,1325
huber_weighted,huber,True,v1,6,2022,False,True,-1,17.666666666666668,True,12.311116218566895,22.424989700317383,24.11802101135254,116,1325
quantile,quantile,True,v1,6,2022,False,True,0,28.0,False,12.406585693359375,22.561120986938477,23.645952224731445,116,1325
quantile,quantile,True,v1,6,2022,False,True,1,2.0,False,12.428909301757812,22.62456512451172,23.829917907714844,116,1325
quantile,quantile,True,v1,6,2022,False,True,2,24.0,False,12.40210247039795,22.591928482055664,23.812944412231445,116,1325
quantile,quantile,True,v1,6,2022,False,True,-1,18.0,True,12.390884399414062,22.57136344909668,23.738704681396484,116,1325
baseline,mse,False,v1,7,2023,False,True,0,45.0,False,19.359045028686523,42.85840606689453,35.995445251464844,363,1300
baseline,mse,False,v1,7,2023,False,True,1,28.0,False,18.77467918395996,42.37007141113281,34.76283645629883,363,1300
baseline,mse,False,v1,7,2023,False,True,2,39.0,False,19.350229263305664,43.067562103271484,35.730648040771484,363,1300
baseline,mse,False,v1,7,2023,False,True,-1,37.333333333333336,True,19.11153793334961,42.656166076660156,35.42470932006836,363,1300
huber,huber,False,v1,7,2023,False,True,0,57.0,False,18.333269119262695,41.79216003417969,32.67714309692383,363,1300
huber,huber,False,v1,7,2023,False,True,1,78.0,False,19.350414276123047,43.19773864746094,35.87765884399414,363,1300
