date,canonical_name,rainfall_era5,rainfall_chirps,difference_mm,agreement
2008-04-28,Gampaha,10.484040531856232,60.351756451486175,-49.87,chirps only
2008-07-18,Gampaha,38.31600160405064,52.06882414253948,-13.75,chirps only
2008-10-19,Gampaha,61.05194778941973,30.38704724154888,30.66,era5 only
2009-05-24,Gampaha,57.181944252260806,0.0433606201184708,57.14,era5 only
2009-09-18,Gampaha,18.829448599263223,62.17381546503895,-43.34,chirps only
2009-11-06,Gampaha,15.168895091934075,50.95077111173886,-35.78,chirps only
2010-05-17,Gampaha,8.08195075862567,56.38288545450777,-48.3,chirps only
2010-05-20,Gampaha,45.17066514503895,53.769888226225945,-8.6,chirps only
2010-06-23,Gampaha,25.564609871899503,50.95162648938103,-25.39,chirps only
2010-10-01,Gampaha,27.6020463954572,54.0879414125554,-26.49,chirps only
2010-10-02,Gampaha,54.80709693371931,52.7944423043925,2.01,both
2010-11-11,Gampaha,65.90849448865306,0.3715963359262751,65.54,era5 only
2010-11-22,Gampaha,38.89658565457967,67.76081203673512,-28.86,chirps only
2010-11-30,Gampaha,28.548342409039066,50.942884251899606,-22.39,chirps only
2010-12-25,Gampaha,51.441635963767816,0.8933231527543982,50.55,era5 only
2011-01-13,Gampaha,59.59519512239632,2.0819788195507383,57.51,era5 only
2011-02-02,Gampaha,30.79655888960232,54.4047373011241,-23.61,chirps only
2011-10-29,Gampaha,52.09347184245945,10.851526952892716,41.24,era5 only
2011-12-19,Gampaha,59.87379016544677,0.5586093909218426,59.32,era5 only
2012-02-14,Gampaha,65.57932115572726,20.281677109953865,45.3,era5 only
2012-04-23,Gampaha,5.172809553533877,64.10346462697848,-58.93,chirps only
2012-08-29,Gampaha,23.594334022019822,62.07612773404394,-38.48,chirps only
2012-10-23,Gampaha,54.0096133190434,18.29586464328728,35.71,era5 only
2012-10-29,Gampaha,49.43500032846835,58.88644952049498,-9.45,chirps only
2012-10-30,Gampaha,9.604545881732957,56.99145585257161,-47.39,chirps only
2012-11-24,Gampaha,90.98206562150794,24.74730789462625,66.23,era5 only
